time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
63.63500000,0.00797764,3791,0.00003611,0.00000000,0,0.00000050,10524,10529,13,0.00219594
63.73000000,0.00788421,3767,0.00001087,0.00000000,0,0.00000057,10529,10531,5,0.00174813
63.83500000,0.01028345,3789,0.00001956,0.00000000,0,0.00000059,10531,10533,7,0.00142974
63.93500000,0.00812980,3797,0.00001258,0.00000000,0,0.00000063,10533,10535,5,0.00167737
64.03000000,0.00811040,3762,0.00001554,0.00000000,0,0.00000062,10535,10539,5,0.00134290
64.13500000,0.01069730,3706,0.00009352,0.00000000,0,0.00000077,10539,10547,23,0.00139062
64.23500000,0.01087605,3737,0.00003705,0.00000000,0,0.00000071,10547,10541,7,0.00148958
64.33500000,0.01165394,3755,0.00000973,0.00000000,0,0.00000065,10541,10542,4,0.00210111
64.43500000,0.01068179,3753,0.00002154,0.00000000,0,0.00000061,10542,10544,3,0.00139045
64.53500000,0.01010964,3789,0.00003848,0.00000000,0,0.00000071,10544,10544,14,0.00219708
64.63500000,0.00803887,3790,0.00004155,0.00000000,0,0.00000057,10544,10550,16,0.00232763
64.73500000,0.00858127,3717,0.00000281,0.00000000,0,0.00000050,10550,10550,1,0.00221227
64.83500000,0.00781572,3777,0.00004163,0.00000000,0,0.00000055,10550,10537,14,0.00218352
64.93000000,0.01184128,3788,0.00000507,0.00000000,0,0.00000068,10537,10538,2,0.00234062
65.03500000,0.01061620,3727,0.00001501,0.00000000,0,0.00000064,10538,10540,4,0.00144815
65.13500000,0.01119635,3770,0.00006050,0.00000000,0,0.00000069,10540,10558,22,0.00140072
65.23500000,0.00783116,3789,0.00002387,0.00000000,0,0.00000071,10558,10566,11,0.00139083
65.33500000,0.00856433,3803,0.00001297,0.00000000,0,0.00000054,10566,10568,6,0.00224982
65.43500000,0.00772543,3771,0.00003533,0.00000000,0,0.00000054,10568,10572,17,0.00234755
65.53500000,0.00833352,3787,0.00001994,0.00000000,0,0.00000049,10572,10565,4,0.00224413
65.63500000,0.01027246,3773,0.00002386,0.00000000,0,0.00000053,10565,10563,5,0.00133810
65.73500000,0.01085556,3771,0.00003729,0.00000000,0,0.00000081,10563,10567,12,0.00147779
65.83500000,0.01170273,3764,0.00002428,0.00000000,0,0.00000068,10567,10559,3,0.00141490
65.93500000,0.01092708,3786,0.00001235,0.00000000,0,0.00000073,10559,10559,9,0.00148034
66.03500000,0.00851334,3766,0.00001801,0.00000000,0,0.00000063,10559,10558,4,0.00137941
66.13500000,0.00936653,3766,0.00004335,0.00000000,0,0.00000069,10558,10565,15,0.00205781
66.23500000,0.00797731,3788,0.00009124,0.00000000,0,0.00000058,10565,10544,27,0.00219580
66.33500000,0.00791880,3766,0.00001676,0.00000000,0,0.00000070,10544,10548,7,0.00217681
66.43500000,0.00868276,3740,0.00000552,0.00000000,0,0.00000063,10548,10548,3,0.00236504
66.53500000,0.00783519,3764,0.00000826,0.00000000,0,0.00000052,10548,10549,3,0.00222335
66.63500000,0.00812641,3740,0.00002385,0.00000000,0,0.00000053,10549,10551,10,0.00134346
66.73500000,0.00819333,3797,0.00001397,0.00000000,0,0.00000040,10551,10554,8,0.00155922
66.83500000,0.00730794,3782,0.00001454,0.00000000,0,0.00000058,10554,10556,8,0.00139280
